Y,X,Z,Omega,psi,U,V
0.007751938,0.3410852713,0,0.5305723843,-1.6356660317E-05,-0.0109552337,6.3773899375E-05
0.007751938,0.3488372093,0,0.5458844747,-1.6843627628E-05,-0.0112781386,6.1840131883E-05
0.007751938,0.3565891473,0,0.5606977394,-1.7315059103E-05,-0.0115906728,5.9765903719E-05
0.007751938,0.3643410853,0,0.5749778787,-1.7769871756E-05,-0.0118921166,5.7552733152E-05
0.007751938,0.3720930233,0,0.588691094,-0.000018207,-0.012181759,5.520221366E-05
0.007751938,0.3798449612,0,0.601804116,-1.862536957E-05,-0.0124588985,5.2716072487E-05
0.007751938,0.3875968992,0,0.6142842459,-0.000019024,-0.0127228436,5.0096227964E-05
0.007751938,0.3953488372,0,0.6260994087,-1.9401715356E-05,-0.0129729144,4.734484519E-05
0.007751938,0.4031007752,0,0.6372182188,-1.9757647619E-05,-0.0132084433,4.4464389647E-05
0.007751938,0.4108527132,0,0.6476100569,-2.0090759462E-05,-0.0134287775,4.1457678381E-05
0.007751938,0.4186046512,0,0.6572451578,-2.0400084355E-05,-0.0136332802,3.8327928376E-05
0.007751938,0.4263565891,0,0.6660947082,-2.0684682401E-05,-0.0138213331,3.5078801761E-05
0.007751938,0.4341085271,0,0.6741309546,-2.0943643955E-05,-0.0139923388,3.1714447545E-05
0.007751938,0.4418604651,0,0.6813273192,-2.1176093545E-05,-0.014145723,2.8239539513E-05
0.007751938,0.4496124031,0,0.6876585238,-2.1381194074E-05,-0.0142809376,2.4659310028E-05
0.007751938,0.4573643411,0,0.6931007202,-2.1558151268E-05,-0.0143974636,2.0979579403E-05
0.007751938,0.4651162791,0,0.6976316266,-2.170621833E-05,-0.0144948136,1.7206780597E-05
0.007751938,0.4728682171,0,0.7012306685,-2.1824700775E-05,-0.0145725356,0.000013348
0.007751938,0.480620155,0,0.7038791226,-0.000021913,-0.0146302159,9.410886771E-06
0.007751938,0.488372093,0,0.7055602634,-2.1970425262E-05,-0.0146674821,5.403872405E-06
0.007751938,0.496124031,0,0.7062595106,-2.1996584944E-05,-0.0146840071,0.000001336
0.007751938,0.503875969,0,0.7059645761,-0.000021991,-0.0146795115,-2.78315369E-06
0.007751938,0.511627907,0,0.704665609,-2.1953329601E-05,-0.0146537678,-6.943145732E-06
0.007751938,0.519379845,0,0.702355338,-2.1883282502E-05,-0.0146066028,-0.000011133
0.007751938,0.5271317829,0,0.6990292093,-2.1780676888E-05,-0.0145379012,-1.5341262117E-05
0.007751938,0.5348837209,0,0.694685518,-2.1645417537E-05,-0.0144476084,-1.9555631453E-05
0.007751938,0.5426356589,0,0.6893255335,-2.1477505752E-05,-0.0143357335,-2.3763424767E-05
0.007751938,0.5503875969,0,0.6829536152,-0.000021277,-0.0142023517,-2.7951399802E-05
0.007751938,0.5581395349,0,0.6755773185,-2.1044237324E-05,-0.0140476071,-3.2105843453E-05
0.007751938,0.5658914729,0,0.6672074901,-2.0779401634E-05,-0.0138717144,-3.6212622798E-05
0.007751938,0.5736434109,0,0.65785835,-0.000020483,-0.0136749614,-4.0257241891E-05
0.007751938,0.5813953488,0,0.64754756,-2.0155457184E-05,-0.0134577103,-4.4224904071E-05
0.007751938,0.5891472868,0,0.636296277,-1.9797542157E-05,-0.0132203988,-4.8100579483E-05
0.007751938,0.5968992248,0,0.6241291908,-0.00001941,-0.0129635416,-5.1869077457E-05
0.007751938,0.6046511628,0,0.6110745438,-1.8993686827E-05,-0.0126877305,-5.5515123328E-05
0.007751938,0.6124031008,0,0.5971641335,-1.8549645014E-05,-0.0123936347,-5.9023439214E-05
0.007751938,0.6201550388,0,0.5824332958,-0.000018079,-0.0120820006,-6.2378828236E-05
0.007751938,0.6279069767,0,0.5669208691,-0.000017583,-0.0117536512,-6.5566261584E-05
0.007751938,0.6356589147,0,0.5506691381,-1.7062930927E-05,-0.0114094847,-0.000068571
0.007751938,0.6434108527,0,0.5337237568,-1.6520359105E-05,-0.0110504732,-7.1378523672E-05
0.007751938,0.6511627907,0,0.5161336518,-1.595683276E-05,-0.0106776607,-7.3974945791E-05
0.007751938,0.6589147287,0,0.4979509038,-0.000015374,-0.0102921601,-7.6346782446E-05
0.007751938,0.6666666667,0,0.4792306088,-1.4773775249E-05,-0.009895151,-7.8481204665E-05
0.007751938,0.6744186047,0,0.4600307188,-1.4157923087E-05,-0.0094878757,-8.0366095907E-05
0.007751938,0.6821705426,0,0.4404118617,-1.3528463367E-05,-0.0090716356,-8.1990139539E-05
0.007751938,0.6899224806,0,0.4204371426,-1.2887459198E-05,-0.0086477869,-8.3342903361E-05
0.007751938,0.6976744186,0,0.4001719252,-1.2237050864E-05,-0.0082177358,-8.4414920465E-05
0.007751938,0.7054263566,0,0.3796835954,-1.1579448051E-05,-0.0077829334,-8.519776576E-05
0.007751938,0.7131782946,0,0.3590413073,-1.091692148E-05,-0.0073448705,-8.568412755E-05
0.007751938,0.7209302326,0,0.3383157139,-1.0251794024E-05,-0.0069050713,-8.5867873659E-05
0.007751938,0.7286821705,0,0.3175786812,-9.586431323E-06,-0.0064650875,-8.574411169E-05
0.007751938,0.7364341085,0,0.2969029899,-8.92323196E-06,-0.006026492,-8.530924316E-05
0.007751938,0.7441860465,0,0.2763620229,-8.264617241E-06,-0.0055908718,-0.000084561
0.007751938,0.7519379845,0,0.2560294425,-0.000007613,-0.0051598214,-8.3498543327E-05
0.007751938,0.7596899225,0,0.2359788558,-6.970876875E-06,-0.0047349356,-8.2122385444E-05
